Format Version,1.23,Take Name,Take 2023-06-14 02.01.19 PM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-06-14 02.01.19.893 PM,Capture Start Frame,5497934,Total Frames in Take,1916,Total Exported Frames,1916,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
77,1.283333,-0.287220,42.802021,-0.114923,141.088593,47.188061,105.848076,-176.292740,-85.439323,4.889370,163.749161,7.854574,248.564117
78,1.300000,-0.287509,42.807327,-0.116579,141.088531,47.189137,105.847763,-176.292648,-85.439346,4.889450,163.850433,7.672008,248.616211
79,1.316667,-0.286247,42.808723,-0.117330,141.088242,47.189396,105.848145,-176.292526,-85.439354,4.889547,163.852997,7.664794,248.620911
80,1.333333,-0.281891,42.803173,-0.112275,141.089371,47.187595,105.847755,-176.292847,-85.439262,4.889382,163.769287,7.814630,248.573380
81,1.350000,-0.287973,42.807121,-0.116212,141.088684,47.189434,105.847633,-176.292725,-85.439278,4.889476,163.852203,7.664315,248.620010
82,1.366667,-0.288006,42.808727,-0.121274,141.089035,47.188686,105.847595,-176.292725,-85.439278,4.889476,163.852203,7.664315,248.620010
83,1.383333,-0.282489,42.801556,-0.112760,141.089233,47.187695,105.847458,-176.292725,-85.439278,4.889476,163.852203,7.664315,248.620010
84,1.400000,-0.288150,42.808945,-0.117900,141.088303,47.188808,105.847931,-176.292664,-85.439293,4.889530,163.851486,7.670906,248.616119
85,1.416667,-0.286389,42.803387,-0.114554,141.087860,47.191067,105.848297,-176.292664,-85.439293,4.889530,163.851486,7.670906,248.616119
86,1.433333,-0.290380,42.802494,-0.112198,141.089249,47.186756,105.847183,-176.292587,-85.439308,4.889592,163.852676,7.664424,248.620346
87,1.450000,-0.288276,42.805431,-0.115673,141.088318,47.188980,105.847359,-176.292587,-85.439308,4.889592,163.852676,7.664424,248.620346
88,1.466667,-0.274744,42.816269,-0.126554,141.088135,47.188507,105.846359,-176.292450,-85.439331,4.889687,163.850784,7.668915,248.616653
89,1.483333,-0.286448,42.801472,-0.112620,141.089905,47.187141,105.847610,-176.292328,-85.439346,4.889803,163.852829,7.663382,248.620346
90,1.500000,-0.287274,42.806984,-0.116751,141.087418,47.189121,105.847656,-176.292328,-85.439346,4.889803,163.852829,7.663382,248.620346
91,1.516667,-0.283145,42.812824,-0.122289,141.088150,47.189037,105.846931,-176.292328,-85.439346,4.889803,163.852829,7.663382,248.620346
92,1.533333,-0.284686,42.807224,-0.113591,141.088821,47.188000,105.847870,-176.292328,-85.439346,4.889803,163.852829,7.663382,248.620346
93,1.550000,-0.294174,42.801449,-0.111199,141.088211,47.188393,105.847847,-176.292206,-85.439354,4.889884,163.850555,7.671405,248.615616
94,1.566667,-0.292819,42.805717,-0.114227,141.088516,47.188728,105.847290,-176.292099,-85.439369,4.889971,163.853149,7.664966,248.621338
95,1.583333,-0.284048,42.808357,-0.114945,141.088989,47.187145,105.847824,-176.292099,-85.439369,4.889971,163.853149,7.664966,248.621338
96,1.600000,-0.289428,42.805683,-0.114161,141.088242,47.189659,105.848267,-176.291992,-85.439384,4.890064,163.851486,7.671099,248.615601
97,1.616667,-0.288093,42.808216,-0.119890,141.087662,47.189034,105.847633,-176.291992,-85.439384,4.890064,163.851486,7.671099,248.615601
98,1.633333,-0.278469,42.805836,-0.120054,141.088684,47.188416,105.848885,-176.291992,-85.439384,4.890064,163.851486,7.671099,248.615601
99,1.650000,-0.289968,42.803848,-0.112723,141.089005,47.189075,105.847977,-176.291992,-85.439384,4.890064,163.851486,7.671099,248.615601
100,1.666667,-0.289766,42.805805,-0.114098,141.088684,47.190094,105.847763,-176.291992,-85.439384,4.890064,163.851486,7.671099,248.615601
101,1.683333,-0.285888,42.802448,-0.116063,141.088791,47.188847,105.848549,-176.291992,-85.439384,4.890064,163.851486,7.671099,248.615601
102,1.700000,-0.292179,42.809471,-0.113878,141.088867,47.189556,105.848312,-176.291885,-85.439400,4.890151,163.852722,7.664961,248.620438
103,1.716667,-0.289260,42.803738,-0.113196,141.088135,47.189651,105.847298,-176.291885,-85.439400,4.890151,163.852722,7.664961,248.620438
104,1.733333,-0.281875,42.807011,-0.119546,141.089539,47.187691,105.848137,-176.291779,-85.439415,4.890231,163.851624,7.668796,248.615891
105,1.750000,-0.292247,42.804504,-0.114482,141.087753,47.189140,105.847549,-176.291672,-85.439430,4.890301,163.852539,7.666005,248.619888
106,1.766667,-0.292397,42.798744,-0.110373,141.088730,47.188984,105.847038,-176.291672,-85.439430,4.890301,163.852539,7.666005,248.619888
107,1.783333,-0.284895,42.807438,-0.118071,141.088928,47.188641,105.847504,-176.291565,-85.439445,4.890384,163.851135,7.670821,248.615982
108,1.800000,-0.289842,42.803883,-0.114209,141.088013,47.188862,105.847725,-176.291473,-85.439461,4.890460,163.852554,7.665045,248.620560
109,1.816667,-0.277900,42.813572,-0.118728,141.087585,47.188179,105.847145,-176.291397,-85.439476,4.890526,163.851440,7.670856,248.615692
110,1.833333,-0.288332,42.806145,-0.115986,141.089203,47.187847,105.848778,-176.291809,-85.439354,4.890329,163.749435,7.853656,248.564362
111,1.850000,-0.291177,42.805855,-0.113488,141.088089,47.189724,105.848648,-176.291718,-85.439377,4.890388,163.850220,7.670083,248.616653
112,1.866667,-0.288754,42.809753,-0.118082,141.088013,47.189266,105.847420,-176.291718,-85.439377,4.890388,163.850220,7.670083,248.616653
113,1.883333,-0.285088,42.804043,-0.116847,141.089386,47.188240,105.848358,-176.291718,-85.439377,4.890388,163.850220,7.670083,248.616653
114,1.900000,-0.291333,42.807381,-0.113473,141.088852,47.188503,105.847954,-176.291611,-85.439400,4.890473,163.850662,7.666329,248.619766
115,1.916667,-0.289921,42.806946,-0.114363,141.088135,47.188721,105.847359,-176.291534,-85.439407,4.890539,163.850754,7.670824,248.615952
116,1.933333,-0.286287,42.805538,-0.115893,141.089584,47.186649,105.847313,-176.291534,-85.439407,4.890539,163.850754,7.670824,248.615952
117,1.950000,-0.285420,42.808136,-0.120175,141.087967,47.189137,105.847885,-176.291412,-85.439423,4.890614,163.852097,7.666159,248.620255
118,1.966667,-0.285942,42.808838,-0.115319,141.088898,47.188698,105.847618,-176.291412,-85.439423,4.890614,163.852097,7.666159,248.620255
119,1.983333,-0.288672,42.806007,-0.114329,141.089661,47.186127,105.847046,-176.291412,-85.439423,4.890614,163.852097,7.666159,248.620255
120,2.000000,-0.292530,42.803638,-0.113189,141.088562,47.189323,105.848106,-176.291412,-85.439423,4.890614,163.852097,7.666159,248.620255
121,2.016667,-0.290675,42.802612,-0.113963,141.087433,47.188793,105.847885,-176.291565,-85.439438,4.890437,163.839264,7.623574,248.646408
122,2.033333,-0.288965,42.801647,-0.113627,141.089630,47.186462,105.847641,-176.291443,-85.439461,4.890525,163.852249,7.663517,248.619431
123,2.050000,-0.290917,42.808434,-0.111523,141.087769,47.188274,105.846977,-176.291336,-85.439476,4.890615,163.850815,7.671060,248.616165
124,2.066667,-0.286851,42.810749,-0.116679,141.088425,47.188931,105.847672,-176.291336,-85.439476,4.890615,163.850815,7.671060,248.616165
125,2.083333,-0.291695,42.803001,-0.109495,141.089111,47.186779,105.847847,-176.291336,-85.439476,4.890615,163.850815,7.671060,248.616165
126,2.100000,-0.291704,42.805458,-0.112620,141.088303,47.190262,105.848206,-176.291336,-85.439476,4.890615,163.850815,7.671060,248.616165
127,2.116667,-0.292450,42.804607,-0.114628,141.087646,47.190350,105.849197,-176.291336,-85.439476,4.890615,163.850815,7.671060,248.616165
128,2.133333,-0.283530,42.807076,-0.114318,141.090118,47.186844,105.847420,-176.291245,-85.439491,4.890680,163.852814,7.664423,248.620483
129,2.150000,-0.291878,42.803295,-0.107459,141.088745,47.188404,105.848358,-176.291245,-85.439491,4.890680,163.852814,7.664423,248.620483
130,2.166667,-0.293469,42.801346,-0.107581,141.087830,47.190170,105.848465,-176.291153,-85.439507,4.890759,163.850327,7.672597,248.615524
131,2.183333,-0.284490,42.810226,-0.114728,141.089493,47.187069,105.847801,-176.291153,-85.439507,4.890759,163.850327,7.672597,248.615524
132,2.200000,-0.289492,42.805431,-0.111814,141.087769,47.188831,105.846786,-176.291031,-85.439522,4.890844,163.852036,7.666089,248.620026
133,2.216667,-0.294459,42.806484,-0.112024,141.087601,47.190567,105.847404,-176.291031,-85.439522,4.890844,163.852036,7.666089,248.620026
134,2.233333,-0.285103,42.802204,-0.115228,141.089249,47.190010,105.848457,-176.290939,-85.439537,4.890924,163.850433,7.669310,248.616074
