Frame,time,spm_rot_x,spm_rot_y,spm_rot_z,spm_pos_x,spm_pos_y,spm_pos_z,cf_rot_x,cf_rot_y,cf_rot_z,cf_pos_x,cf_pos_y,cf_pos_z
155,2.583333,-0.286732,42.807175,-0.115375,141.089722,47.186668,105.848763,41.601582,86.256660,-37.470406,138.389191,21.307585,256.165192
156,2.600000,-0.289628,42.811523,-0.119718,141.088013,47.187172,105.848289,41.602543,86.256592,-37.471344,138.452698,21.878996,256.152008
157,2.616667,-0.286768,42.814888,-0.118170,141.088181,47.188656,105.849350,41.603432,86.256531,-37.472240,138.532639,22.469679,256.138794
158,2.633333,-0.288560,42.813107,-0.113194,141.089020,47.186840,105.849220,41.604099,86.256454,-37.472866,138.592026,23.046032,256.136505
159,2.650000,-0.288887,42.811779,-0.115919,141.088028,47.187431,105.849098,41.603161,86.256943,-37.471882,138.652832,23.739851,256.097412
160,2.666667,-0.284569,42.813541,-0.115696,141.088226,47.188713,105.849480,41.602776,86.257065,-37.471725,138.721619,24.390038,256.090942
161,2.683333,-0.282315,42.813396,-0.121555,141.089264,47.186333,105.849800,41.603432,86.257004,-37.472366,138.799423,24.918579,256.201233
162,2.700000,-0.285563,42.812054,-0.120893,141.088608,47.187511,105.849243,41.604382,86.256935,-37.473297,138.870590,25.583611,256.229553
163,2.716667,-0.286833,42.815605,-0.122461,141.088394,47.189087,105.849289,41.600956,86.258354,-37.469864,138.917755,26.348597,256.209015
164,2.733333,-0.285829,42.809616,-0.116111,141.089294,47.187481,105.849388,41.599762,86.258789,-37.468636,138.986069,27.037529,256.263550
165,2.750000,-0.283114,42.813568,-0.119218,141.087906,47.187920,105.849419,41.598206,86.259262,-37.467121,139.058334,27.756653,256.321991
166,2.766667,-0.289215,42.813854,-0.114746,141.088791,47.186207,105.847595,41.596565,86.259674,-37.465458,139.111237,28.505207,256.387482
167,2.783333,-0.280532,42.807140,-0.116109,141.088898,47.186348,105.849609,21.857676,87.850685,-18.946968,139.180359,29.340097,256.393188
168,2.800000,-0.282112,42.818176,-0.119661,141.088913,47.188190,105.849472,21.848562,87.851089,-18.938328,139.240799,30.127007,256.453156
169,2.816667,-0.286014,42.817150,-0.123642,141.087921,47.188698,105.849480,21.844177,87.851318,-18.933910,139.317871,30.838829,256.580841
170,2.833333,-0.277481,42.816048,-0.125860,141.088867,47.186703,105.849037,21.832830,87.851669,-18.923035,139.367371,31.727579,256.604492
171,2.850000,-0.288394,42.810837,-0.119655,141.089111,47.188171,105.848869,21.834236,87.851639,-18.924507,139.425980,32.532345,256.693115
172,2.866667,-0.285900,42.811405,-0.121387,141.087753,47.187737,105.849007,21.821104,87.852280,-18.911943,139.484665,33.371727,256.756165
173,2.883333,-0.288711,42.800880,-0.111707,141.089645,47.186169,105.848755,21.808609,87.852661,-18.900080,139.525833,34.199936,256.831848
174,2.900000,-0.287237,42.810772,-0.118397,141.087753,47.188148,105.848885,9.413796,88.189980,-6.958028,139.591949,35.028461,256.916168
175,2.916667,-0.283682,42.812897,-0.118899,141.088348,47.188614,105.849220,9.398658,88.190346,-6.943504,139.641815,35.872314,256.982330
176,2.933333,-0.275176,42.808933,-0.117646,141.089539,47.187199,105.849281,9.383404,88.190781,-6.928959,139.686264,36.678501,257.062469
177,2.950000,-0.283460,42.814411,-0.120959,141.088638,47.188152,105.847885,9.365056,88.191200,-6.911264,139.730118,37.493500,257.129944
178,2.966667,-0.293634,42.813168,-0.118372,141.088791,47.187607,105.847992,9.347522,88.191772,-6.894382,139.777603,38.319408,257.189362
179,2.983333,-0.288134,42.811687,-0.116835,141.088821,47.187138,105.848991,9.333909,88.192177,-6.881497,139.814941,39.118347,257.253540
180,3.000000,-0.292579,42.808407,-0.116543,141.089050,47.187378,105.848351,9.317698,88.192772,-6.865984,139.850784,39.893944,257.318542
181,3.016667,-0.298849,42.806942,-0.116130,141.087814,47.190025,105.849823,9.301249,88.193451,-6.850236,139.878525,40.675522,257.365845
182,3.033333,-0.282041,42.807301,-0.114174,141.088745,47.186356,105.848885,9.302756,88.193436,-6.851774,139.889099,41.424500,257.417358
183,3.050000,-0.285704,42.813564,-0.119837,141.088608,47.187725,105.849060,9.298232,88.193634,-6.847454,139.930267,42.155579,257.466675
184,3.066667,-0.291170,42.813107,-0.115122,141.088425,47.188854,105.848694,9.293781,88.193840,-6.843195,139.947510,42.889385,257.498535
185,3.083333,-0.295254,42.807671,-0.112785,141.088928,47.186928,105.849579,9.289790,88.194061,-6.839384,139.959808,43.567612,257.555542
186,3.100000,-0.289841,42.811935,-0.115151,141.088882,47.188587,105.849327,9.285456,88.194305,-6.835234,139.980164,44.261322,257.585724
