frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
47,0.783333,176.870819,-42.829628,178.245041,209.411652,48.370529,166.337997,-176.814011,84.995262,177.284866,203.099472,7.837639,254.118393,89.775780,-6.086079,-0.972742,139.987701,46.236958,155.636627,85.201416,4.617974,1.675115,77.901062,80.273247,138.461151
48,0.800000,176.876938,-42.838425,178.262482,209.410553,48.369453,166.336258,-176.813751,84.995247,177.284592,203.099640,7.836291,254.118866,89.783684,-6.075010,-0.978219,139.986343,46.241703,155.637436,-96.630508,-4.394681,177.858978,77.922852,80.268585,138.418945
49,0.816667,176.871552,-42.851597,178.277710,209.410141,48.366798,166.334595,-176.813446,84.995262,177.284317,203.092926,7.826756,254.122162,89.769524,-6.083563,-0.974984,139.988052,46.237034,155.637512,85.212334,4.613349,1.667636,77.902115,80.275391,138.462234
50,0.833333,176.877930,-42.847610,178.275314,209.408875,48.368149,166.335693,-176.813156,84.995247,177.284027,203.099487,7.837205,254.118561,89.773529,-6.085429,-0.974980,139.988235,46.236210,155.636795,-96.636398,-4.395338,177.853806,77.923531,80.269394,138.416840
51,0.850000,176.874741,-42.838276,178.279114,209.409683,48.368542,166.335999,-176.813339,84.995247,177.284180,203.084106,7.749259,254.169708,89.776482,-6.081798,-0.972789,139.987350,46.235538,155.636917,85.203537,4.621817,1.673998,77.901665,80.274597,138.461197
52,0.866667,176.869110,-42.831738,178.240448,209.412247,48.369869,166.336380,-176.813263,84.995186,177.284042,203.092743,7.791968,254.145126,89.777130,-6.081435,-0.967049,139.987930,46.235527,155.636749,-96.648308,-4.396105,177.845276,77.923058,80.268303,138.415588
53,0.883333,176.873154,-42.836807,178.262741,209.410675,48.369595,166.336670,-176.813004,84.995171,177.283783,203.099869,7.836214,254.118729,89.778763,-6.082804,-0.968366,139.987900,46.236492,155.637314,85.189224,4.619337,1.680563,77.901474,80.274025,138.459244
54,0.900000,176.866425,-42.826759,178.252670,209.411972,48.369709,166.336975,-176.812683,84.995163,177.283463,203.099564,7.836720,254.119019,89.776886,-6.083284,-0.971708,139.987869,46.233952,155.636490,-96.642189,-4.397579,177.854584,77.922943,80.268852,138.416061
55,0.916667,176.871170,-42.838657,178.251144,209.411545,48.370792,166.336411,-176.812485,84.995140,177.283264,203.100204,7.837110,254.118866,89.776573,-6.081917,-0.974406,139.987991,46.234272,155.636948,85.199562,4.620809,1.676510,77.900703,80.273262,138.460037
56,0.933333,176.875259,-42.846821,178.261276,209.411667,48.368923,166.335251,-176.811096,84.995033,177.281845,203.095276,7.812255,254.136154,89.778214,-6.081638,-0.968087,139.987045,46.235542,155.637207,-96.639473,-4.401680,177.835541,77.923897,80.266861,138.413818
57,0.950000,176.882278,-42.841061,178.269135,209.409958,48.367409,166.335754,-176.809708,84.994926,177.280411,203.094223,7.814765,254.134750,89.776176,-6.081649,-0.969912,139.987289,46.234917,155.636261,85.195023,4.622541,1.678601,77.901176,80.273621,138.459732
58,0.966667,176.876831,-42.836014,178.248108,209.412384,48.369415,166.336746,-176.809555,84.994865,177.280182,203.092453,7.792796,254.144745,89.779205,-6.084188,-0.972643,139.987152,46.236156,155.637222,-96.632179,-4.402033,177.837524,77.924416,80.267807,138.415131
59,0.983333,176.863388,-42.823612,178.248383,209.412598,48.370590,166.338516,-176.809921,84.994881,177.280548,203.087540,7.772300,254.159882,89.776619,-6.087404,-0.972650,139.987320,46.235519,155.636658,85.190376,4.617463,1.680504,77.901070,80.272850,138.458282
60,1.000000,176.866226,-42.836426,178.256088,209.411911,48.369373,166.336792,-176.810730,84.994942,177.281372,203.088730,7.809550,254.128082,89.775322,-6.084957,-0.970926,139.986206,46.236629,155.637344,-96.640892,-4.398818,177.848190,77.922073,80.268013,138.417343
61,1.016667,176.874664,-42.844608,178.256287,209.412079,48.369244,166.336380,-176.810974,84.994957,177.281586,203.070969,7.748351,254.162689,89.775551,-6.086821,-0.973239,139.987747,46.234303,155.636536,85.210464,4.621405,1.691306,77.901253,80.272758,138.458435
62,1.033333,176.865875,-42.834583,178.256561,209.410934,48.370174,166.337494,-176.811081,84.994972,177.281677,203.076553,7.745855,254.165985,89.782425,-6.085875,-0.972539,139.986938,46.235172,155.637100,-96.640099,-4.394362,177.851974,77.922791,80.268387,138.417038
63,1.050000,176.871445,-42.836529,178.264954,209.410507,48.369205,166.336761,-176.813339,84.995155,177.284012,203.093216,7.840709,254.104324,89.786827,-6.101410,-0.963357,139.985672,46.238808,155.636002,85.195786,4.619439,1.676838,77.901070,80.272911,138.460266
