frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
43,0.716667,-1.423916,-54.667774,-0.114721,182.854630,50.182724,294.422699,176.044464,8.493560,-178.652893,75.989059,7.095814,225.336243,88.103004,-5.778090,-9.149571,103.470673,45.859478,155.435699,-87.513847,2.335037,-93.947136,11.284385,64.441170,221.375687
44,0.733333,-1.241156,-54.712551,0.037327,182.842651,50.174965,294.422058,176.044434,8.493571,-178.652924,75.989029,7.094550,225.336594,88.433594,4.488920,170.816071,103.379265,45.848171,155.543381,92.336166,-2.928973,-84.874847,11.565718,64.419670,221.432617
45,0.750000,-1.267505,-54.745224,0.001724,182.843002,50.171768,294.426941,176.044418,8.493582,-178.652924,75.987831,7.093358,225.337189,88.129387,-5.803378,-9.197790,103.468231,45.852005,155.429276,-87.512695,2.326561,-93.967278,11.287201,64.442963,221.375275
46,0.766667,-1.358974,-54.636833,-0.046374,182.854752,50.184757,294.414581,176.044388,8.493594,-178.652954,75.989578,7.095790,225.336273,88.119278,-5.790735,-9.178910,103.470337,45.856716,155.431961,92.339012,-2.928655,-84.858749,11.572680,64.421341,221.433075
47,0.783333,-1.301899,-54.743359,-0.024849,182.843567,50.173969,294.428741,176.044357,8.493604,-178.652969,75.988426,7.094884,225.336700,88.106667,-5.785974,-9.179108,103.470352,45.856911,155.433792,-87.512390,2.316301,-93.974892,11.285758,64.441498,221.376465
48,0.800000,-1.268147,-54.742931,0.008839,182.842773,50.171650,294.428192,176.044327,8.493616,-178.653000,75.988899,7.094383,225.336533,88.151237,-5.807234,-9.173219,103.470001,45.857212,155.433701,92.346771,-2.970123,-84.805382,11.575648,64.420242,221.432373
49,0.816667,-1.358970,-54.632366,-0.051214,182.854919,50.183655,294.414551,176.044312,8.493626,-178.653015,75.989822,7.096183,225.335785,88.106613,-5.779881,-9.159379,103.471756,45.858418,155.435211,-87.506462,2.360100,-93.943199,11.283883,64.442276,221.375412
50,0.833333,-1.293887,-54.745487,-0.020688,182.844467,50.172382,294.427551,176.044296,8.493639,-178.653046,75.988991,7.096243,225.335403,88.453194,4.472655,170.789734,103.380737,45.848896,155.544388,92.348053,-2.929378,-84.846611,11.571595,64.421799,221.432068
51,0.850000,-1.230529,-54.721924,0.042887,182.840729,50.174088,294.422577,176.044281,8.493652,-178.653046,75.989403,7.096410,225.335236,88.141235,-5.797985,-9.166605,103.469704,45.857937,155.433838,-87.515587,2.293246,-93.976402,11.288681,64.442627,221.375397
52,0.866667,-1.403757,-54.660748,-0.104020,182.855148,50.182796,294.420807,176.044250,8.493663,-178.653076,75.989616,7.096481,225.335938,88.418274,4.497624,170.840500,103.377953,45.848171,155.542618,92.341621,-2.913731,-84.886261,11.565262,64.420357,221.432755
53,0.883333,-1.221721,-54.709229,0.047761,182.843597,50.174034,294.419800,176.044220,8.493676,-178.653107,75.987396,7.096970,225.335999,88.442696,4.489322,170.825089,103.379074,45.848568,155.544296,-87.513908,2.325363,-93.963036,11.283842,64.440086,221.375900
54,0.900000,-1.216567,-54.712605,0.060190,182.842209,50.173527,294.422668,176.044205,8.493688,-178.653122,75.988930,7.093990,225.336319,88.470016,4.466387,170.786652,103.382790,45.849506,155.545715,92.339294,-2.940104,-84.857918,11.570998,64.420975,221.431549
55,0.916667,-1.298254,-54.746799,-0.023780,182.844360,50.173176,294.427704,176.044205,8.493688,-178.653122,75.988930,7.093990,225.336319,88.416466,4.491608,170.815216,103.379456,45.847328,155.540390,-87.507774,2.320062,-93.963905,11.284338,64.441490,221.375870
56,0.933333,-1.246823,-54.722530,0.032442,182.842163,50.176151,294.421356,176.044174,8.493701,-178.653137,75.987862,7.094491,225.336273,88.434891,4.478575,170.799286,103.379349,45.847153,155.541855,92.341232,-2.892482,-84.911469,11.562940,64.421410,221.431763
57,0.950000,-1.172667,-54.721813,0.074029,182.841080,50.169563,294.422577,176.044159,8.493714,-178.653168,75.988098,7.094550,225.335403,88.146774,-5.802041,-9.173802,103.469978,45.858078,155.432770,-87.511414,2.330203,-93.967506,11.285459,64.442047,221.375107
58,0.966667,-1.442081,-54.672577,-0.130663,182.854431,50.183136,294.423340,176.044128,8.493727,-178.653183,75.988403,7.093406,225.336533,88.109375,-5.789762,-9.175084,103.470818,45.859299,155.434860,92.344490,-2.903754,-84.908005,11.562693,64.420654,221.431564
59,0.983333,-1.284299,-54.739002,-0.016674,182.844727,50.171459,294.427979,176.044098,8.493742,-178.653183,75.989952,7.096827,225.335098,88.123962,-5.789639,-9.169680,103.471016,45.859600,155.434402,-87.517372,2.305504,-93.973923,11.286514,64.441475,221.375687
60,1.000000,-1.222907,-54.721081,0.052186,182.841660,50.173534,294.421967,176.044067,8.493754,-178.653214,75.987045,7.096088,225.336121,88.150673,-5.810026,-9.181353,103.469849,45.856228,155.432724,92.341751,-2.945950,-84.838669,11.572554,64.420532,221.432999
